,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,MARCA,REFERENCIA,CODIGO2,NOMBRE2,PRECIO EN DÓLAR,PRECIOFIN1,VALOR DÓLAR
1000,UNITECA,UNITECA,10835,"ADAPTADOR HEMBRA 1 AGUA FRIA UNITECA""",0.02876814113333333,34521.76936,1200000
1001,UNITECA,UNITECA,10836,"ADAPTADOR HEMBRA 1.1/2 AGUA FRIA UNITECA""",0.04301225364,51614.704368,1200000
1002,UNITECA,UNITECA,10841,"TAPON SOLDADO 1/2 A/FRIA UNITECA""",0.15798324857333332,189579.898288,1200000
1003,UNITECA,UNITECA,10842,"TAPON SOLDADO 3/4 A/FRIA UNITECA""",0.33027938914666666,396335.266976,1200000
1004,UNITECA,UNITECA,10843,"TAPON SOLDADO 1 A/FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
1005,UNITECA,UNITECA,10844,"TAPON SOLDADO 1.1/2 A/FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
1006,UNITECA,UNITECA,10849,"UNION 1/2 AGUA FRIA UNITECA""",0,0,1200000
1007,UNITECA,UNITECA,10850,UNION 3/4 AGUA FRIA UNITECA,0,0,1200000
1008,UNITECA,UNITECA,10851,"UNION 1 AGUA FRIA UNITECA""",0,0,1200000
1009,UNITECA,UNITECA,10852,"UNION 1.1/2 AGUA FRIA UNITECA""",0.057354336846666666,68825.204216,1200000
1010,UNITECA,UNITECA,10854,"UNION 2.1/2 AGUA FRIA UNITECA""",0.07182997994,86195.975928,1200000
1011,UNITECA,UNITECA,10857,"UNION UNIVERSAL 1/2 A/FRIA UNITECA""",0.07182997994,86195.975928,1200000
1012,UNITECA,UNITECA,10858,"UNION UNIVERSAL 3/4 A/FRIA UNITECA""",0.08628083035333334,103536.996424,1200000
1013,UNITECA,UNITECA,10859,"UNION UNIVERSAL 1 A/FRIA UNITECA""",0,0,1200000
1014,UNITECA,UNITECA,10860,"UNION UNIVERSAL 1.1/2 A/FRIA UNITECA""",0.04301225364,51614.704368,1200000
1015,UNITECA,UNITECA,10861,"UNION UNIVERSAL 2 A/FRIA UNITECA""",0.057354336846666666,68825.204216,1200000
1016,UNITECA,UNITECA,10865,"REDUCCION SOLDADA 3/4 X 1/2"" A/FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
1017,UNITECA,UNITECA,10866,"REDUCCION SOLDADA 1 X 1/2"" A/FRIA UNITECA""",0.014498436126666665,17398.123352,1200000
1018,UNITECA,UNITECA,10867,"REDUCCIONSOLDADA 1 X 3/4"" A/FRIA UNITECA""",0,0,1200000
1019,UNITECA,UNITECA,10868,"REDUCCION SOLDADA 1.1/2 X 1"" A/FRIA UNITECA""",0,0,1200000
1020,UNITECA,UNITECA,10869,"REDUCCION SOLDADA 2 X 1"" A/FRIA UNITECA""",0,0,1200000
